Participant,Practice,Block,Trial,semantic,gestures,congruent,stimulus,mouse
41,false,92,2,2,2,1,g1,null
41,false,92,3,2,2,1,c2,null
41,false,93,0,2,2,1,c1,null
41,false,93,1,2,2,1,g2,null
41,false,93,2,2,2,1,g1,null
41,false,93,3,2,2,1,c2,null
41,false,94,0,2,2,1,g2,null
41,false,94,1,2,2,1,g1,null
41,false,94,2,2,2,1,c2,null
41,false,94,3,2,2,1,c1,null
41,false,95,0,2,2,1,g1,null
41,false,95,1,2,2,1,g2,null
41,false,95,2,2,2,1,c1,null
41,false,95,3,2,2,1,c2,null
41,false,96,0,2,2,1,g1,null
41,false,96,1,2,2,1,c1,null
41,false,96,2,2,2,1,c2,null
41,false,96,3,2,2,1,g2,null
41,false,97,0,2,2,1,c1,null
41,false,97,1,2,2,1,c2,null
41,false,97,2,2,2,1,g2,null
41,false,97,3,2,2,1,g1,null
41,false,98,0,2,2,1,g2,null
41,false,98,1,2,2,1,c2,null
41,false,98,2,2,2,1,g1,null
41,false,98,3,2,2,1,c1,null
41,false,99,0,2,2,1,g1,null
41,false,99,1,2,2,1,c1,null
41,false,99,2,2,2,1,c2,null
41,false,99,3,2,2,1,g2,null
41,false,100,0,2,2,1,c1,null
41,false,100,1,2,2,1,g1,null
41,false,100,2,2,2,1,c2,null
41,false,100,3,2,2,1,g2,null
41,true,0,0,2,3,1,g2,left
41,false,101,0,2,3,1,c1,null
41,false,101,1,2,3,1,g1,null
41,false,101,2,2,3,1,c2,null
41,false,101,3,2,3,1,g2,null
41,false,102,0,2,3,1,c1,null
41,false,102,1,2,3,1,g2,null
41,false,102,2,2,3,1,g1,null
41,false,102,3,2,3,1,c2,null
41,false,103,0,2,3,1,g2,null
41,false,103,1,2,3,1,c1,null
41,false,103,2,2,3,1,g1,null
41,false,103,3,2,3,1,c2,null
41,false,104,0,2,3,1,c2,null
41,false,104,1,2,3,1,g1,null
41,false,104,2,2,3,1,c1,null
41,false,104,3,2,3,1,g2,null
41,false,105,0,2,3,1,g1,null
41,false,105,1,2,3,1,g2,null
41,false,105,2,2,3,1,c1,null
41,false,105,3,2,3,1,c2,null
41,false,106,0,2,3,1,g2,null
41,false,106,1,2,3,1,g1,null
41,false,106,2,2,3,1,c2,null
41,false,106,3,2,3,1,c1,null
41,false,107,0,2,3,1,g2,null
41,false,107,1,2,3,1,c2,null
41,false,107,2,2,3,1,c1,null
41,false,107,3,2,3,1,g1,null
41,false,108,0,2,3,1,c2,null
41,false,108,1,2,3,1,g1,null
41,false,108,2,2,3,1,g2,null
41,false,108,3,2,3,1,c1,null
41,false,109,0,2,3,1,g1,null
41,false,109,1,2,3,1,c2,null
41,false,109,2,2,3,1,c1,null
41,false,109,3,2,3,1,g2,null
41,false,110,0,2,3,1,g2,null
41,false,110,1,2,3,1,g1,null
41,false,110,2,2,3,1,c2,null
41,false,110,3,2,3,1,c1,null
41,true,0,0,2,3,0,c1,right
41,false,111,0,2,3,0,c1,null
41,false,111,1,2,3,0,g1,null
41,false,111,2,2,3,0,g2,null
41,false,111,3,2,3,0,c2,null
41,false,112,0,2,3,0,g2,null
41,false,112,1,2,3,0,g1,null
41,false,112,2,2,3,0,c1,null
41,false,112,3,2,3,0,c2,null
41,false,113,0,2,3,0,g2,null
41,false,113,1,2,3,0,c2,null
41,false,113,2,2,3,0,c1,null
41,false,113,3,2,3,0,g1,null
41,false,114,0,2,3,0,c1,null
41,false,114,1,2,3,0,g2,null
41,false,114,2,2,3,0,c2,null
41,false,114,3,2,3,0,g1,null
41,false,115,0,2,3,0,c1,null
41,false,115,1,2,3,0,g2,null
41,false,115,2,2,3,0,g1,null
41,false,115,3,2,3,0,c2,null
41,false,116,0,2,3,0,g2,null
41,false,116,1,2,3,0,c2,null
41,false,116,2,2,3,0,c1,null
41,false,116,3,2,3,0,g1,null
41,false,117,0,2,3,0,c1,null
41,false,117,1,2,3,0,g1,null
41,false,117,2,2,3,0,c2,null
41,false,117,3,2,3,0,g2,null
41,false,118,0,2,3,0,c1,null
41,false,118,1,2,3,0,g2,null
41,false,118,2,2,3,0,g1,null
41,false,118,3,2,3,0,c2,null
41,false,119,0,2,3,0,g2,null
41,false,119,1,2,3,0,g1,null
41,false,119,2,2,3,0,c1,null
